artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Rihanna,Hard,250600,TRUE,2009,55,0.31,0.746,1,-3.599,1,0.111,0.0121,0,0.649,0.163,182.032,hip hop+ pop+ R&B
Adam Lambert,Whataya Want from Me,227320,FALSE,2009,57,0.438,0.672,11,-4.706,0,0.0429,0.0055,0,0.0583,0.457,185.934,pop
Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706,FALSE,2009,68,0.652,0.605,8,-7.371,1,0.0393,0.00481,0,0.0605,0.394,126.091,hip hop+ pop+ R&B
Jay Sean,Down,212106,FALSE,2009,3,0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,hip hop+ pop+ R&B
K'NAAN,Wavin' Flag,220520,FALSE,2009,57,0.625,0.699,0,-6.416,1,0.0729,0.13,0,0.238,0.717,75.974,set()
Trey Songz,Say Aah (feat. Fabolous),207546,FALSE,2009,54,0.724,0.87,1,-3.614,0,0.113,0.00453,0,0.833,0.81,93.01,hip hop+ pop+ R&B
Jay Sean,Do You Remember,210306,FALSE,2009,2,0.855,0.668,11,-4.892,1,0.0644,0.0242,0,0.102,0.803,125.846,hip hop+ pop+ R&B
JAY-Z,Young Forever,253906,TRUE,2009,65,0.637,0.69,9,-3.214,0,0.0693,0.417,0,0.211,0.103,140.329,hip hop
Young Money,BedRock,288133,TRUE,2009,71,0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148.005,hip hop+ pop
Owl City,Fireflies,228346,FALSE,2009,78,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,rock+ pop
Alicia Keys,Empire State of Mind (Part II) Broken Down,216480,FALSE,2009,71,0.484,0.368,6,-7.784,1,0.0341,0.74,3.82E-05,0.118,0.142,92.923,pop+ R&B
Kris Allen,Live Like We're Dying,212506,FALSE,2009,51,0.589,0.893,0,-2.948,1,0.0397,0.0273,0,0.343,0.94,92.011,pop
OneRepublic,Good Life,253306,TRUE,2009,72,0.634,0.69,6,-7.804,1,0.052,0.0771,0,0.132,0.645,94.988,pop
